Movie Title,Studio,Weekend Date,Opening Revenue
Flight,Par.,11/2/2012,"$24,900,566"
Child's Play 2,Uni.,11/9/1990,"$10,718,520"
Hostel,Lions,1/6/2006,"$19,556,099"
Underdog,BV,8/3/2007,"$11,585,121"
The Curious Case of Benjamin Button,Par.,12/25/2008,"$26,853,816"
The Incredibles,BV,11/5/2004,"$70,467,623"
The Kingdom,Uni.,9/28/2007,"$17,135,055"
The Fast and the Furious: Tokyo Drift,Uni.,6/16/2006,"$23,973,840"
Star Wars (Special Edition),Fox,1/31/1997,"$35,906,661"
The Karate Kid Part II,Col.,6/20/1986,"$12,652,336"
Rush Hour,NL,9/18/1998,"$33,001,803"
The 40-Year-Old Virgin,Uni.,8/19/2005,"$21,422,815"
The Nutty Professor (1996),Uni.,6/28/1996,"$25,411,725"
Brave,BV,6/22/2012,"$66,323,594"
The Heartbreak Kid,P/DW,10/5/2007,"$14,022,105"
Shanghai Knights,BV,2/7/2003,"$19,603,630"
Les Miserables (2012),Uni.,12/25/2012,"$27,281,735"
Beverly Hills Chihuahua,BV,10/3/2008,"$29,300,465"
Bee Movie,P/DW,11/2/2007,"$38,021,044"
Tyler Perry's Daddy's Little Girls,LGF,2/14/2007,"$11,210,754"
John Tucker Must Die,Fox,7/28/2006,"$14,276,534"
Dumb and Dumberer: When Harry Met Lloyd,NL,6/13/2003,"$10,845,064"
Jackass: Number Two,Par.,9/22/2006,"$29,002,002"
"10,000 B.C.",WB,3/7/2008,"$35,867,488"
28 Days Later,FoxS,6/27/2003,"$10,061,858"
The Spiderwick Chronicles,Par.,2/14/2008,"$19,004,058"
The Book of Eli,WB,1/15/2010,"$32,789,494"
Sex and the City 2,WB (NL),5/27/2010,"$31,001,870"
Psycho (1998),Uni.,12/4/1998,"$10,031,850"
The Empire Strikes Back (Special Edition),Fox,2/21/1997,"$21,975,993"
Blue Streak,Sony,9/17/1999,"$19,208,806"
Toy Story / Toy Story 2 (3D),BV,10/2/2009,"$12,491,789"
We Own the Night,Sony,10/12/2007,"$10,826,287"
